;Deutschland;England;Frankreich;Spanien;Italien;Niederlande;Schweden;Portugal
;Holz-Schaltknauf, Nußbaum-Wurzel dunkel;Wood gear lever knob, burr walnut, dark;Pommeau de levier de vitesses, ronce de noyer foncée;Empuñadura de madera de la palanca de cambio, raíz de nogal oscuro;Impugnatura della leva del cambio in legno, radica di noce scura;Houten schakelknop, donker wortelnotenhout;Växelspaksknopp i trä, valnötsrot mörk;Punho de mudanças, raiz de nogueira escura
;Holz-Schaltknauf, Nußbaum-Wurzel hell;Wood gear lever knob, burr walnut, light;Pommeau de levier de vitesses, ronce de noyer claire;Empuñadura de madera de la palanca de cambio, raíz de nogal claro;Impugnatura della leva del cambio in legno, radica di noce chiara;Houten schakelknop, licht wortelnotenhout;V'äxelspaksknopp i trä, valnötsrot ljus;Punho de mudanças, raiz de nogueira clara
;Holz/Leder-Sportlenkradkranz mit Dekorblende, Ahorn hell;Wood sport steering wheel rim with decorative trim, maple, light;Jante de volant sport à insert décoratif, érable clair;Corona de madera del volante deportivo con embellecedor, arce claro;Corona del volante sportivo in legno con mascherina decorativa, acero chiaro;Houten sportstuurwielrand met sierpaneel, licht ahorn;Sportrattkrans i trä med dekor, lönn ljus;Coroa de volante desportivo em madeira/pele com friso decorativo, ácer claro
;Holz/Leder-Sportlenkradkranz mit Dekorblende, Myrte;Wood sport steering wheel rim with decorative trim, myrtle;Jante de volant sport à insert décoratif, myrte;Corona de madera del volante deportivo con embellecedor, mirto;Corona del volante sportivo in legno con mascherina decorativa, mirto;Houten sportstuurwielrand met sierpaneel, myrthe;Sportrattkrans i trä med dekor, myrten;Coroa de volante desportivo em madeira/pele com friso decorativo, mirto
;Holz-Wählhebelgriff Ahorn;Wood selector lever grip, maple;Poignée de sélecteur, érable;Palanca de cambio automático de madera, arce;Maniglia della leva selettrice in legno, acero;Houten knop voor keuzehendel ahorn;Växelväljarhandtag i trä, lönn;Punho da caixa automática em madeira, ácer 
;Holz-Wählhebelgriff Myrte;Wood selector lever grip, myrtle;Poignée de sélecteur, myrte;Palanca de cambio automático de madera, mirto;Maniglia della leva selettrice in legno, mirto;Houten knop voor keuzehendel myrthe;Växelväljarhandtag i trä, myrten;Punho da caixa automática em madeira, mirto 
;Holz-Wählhebelgriff Birke;Wood selector lever grip, birch;Poignée de sélecteur, bouleau;Palanca de cambio automático de madera, abedul;Maniglia della leva selettrice in legno, betulla;Houten knop voor keuzehendel berken;Växelväljarhandtag i trä, björk;Punho da caixa automática em madeira, bétula 
;Holz-Schaltknauf, Birke;Wood gear lever knob, birch;Pommeau de levier de vitesses, bouleau;Empuñadura de madera de la palanca de cambio, abedul;Impugnatura della leva del cambio in legno, betullla;Houten schakelknop, berken;Växelspaksknopp i trä, björk;Punho de mudanças em madeira, bétula
;Holz-Wählhebelgriff, Nussbaum-Wurzel, dunkel;Wood selector lever grip, walnut, dark;Poignée de sélecteur, avec bague en noyer foncé;Palanca de cambio automático de madera, nogal oscuro;Maniglia della leva selettrice in legno, noce scuro;Houten knop voor keuzehendel donker notenhout;Växelväljarhandtag i trä, valnöt mörk;Punho da caixa automática em madeira, raiz de nogueira escura
;Innenaustattung, mattchrom;Interior trim, matt chrome;Finition intérieure, chrome mat;Equipamiento interior, cromo mate;Finiture interne, cromatura opaca;Interieur-uitrusting, mat chroom;Inredning, matt förkromad;Equipamento interior, cromado mate
;Interieur Aluminium;Interior, aluminum;Intérieur aluminium;Interior de aluminio;Interni in alluminio;Interieur aluminium;Interiör 'Aluminium';Interior em alumínio
;Interieur Platane;Interior, plane tree;Intérieur platane;Interior 'plátano';Interni in platano;Interieur plataan;Interiör 'Platan';Interior em madeira de plátano
;Interieurleisten;Interior trims;Inserts d'habitacle;Revestimientos interiores;Modanature interne;Interieurpanelen;Interiörlister;Frisos interiores decorativos
;Interieurleisten Alu Cube Silber;Interior trims, aluminum Cube Silver;Inserts d'habitacle Alu Cube Silber;Revestimientos interiores de aluminio Cube Silber;Modanature interne in alluminio 'Cube Silber';Interieurpanelen Alu Cube zilver;Interiörlister Alu Cube Silver;Frisos interiores decorativos em alumínio Cube prateado 
;Interieurleisten Alu Säulen;Interior trims, aluminum pillars;Inserts d'habitacle Alu Säulen;Revestimientos interiores de los montantes en aluminio;Modanature interne in alluminio 'Design Colonne';Interieurpanelen aluminium stijlen;Interiörlister Alu Säulen;Frisos interiores decorativos de colunas de alumínio
;Interieurleisten Alu Techno-dots;Interior trims, aluminum techno-dots;Inserts d'habitacle Alu Techno-dots;Revestimientos interiores de aluminio Techno-dots;Modanature interne in alluminio 'Techno-dots';Interieurpanelen aluminium techno-dots;Interiörlister Alu Techno-dots;Frisos interiores decorativos em alumínio Techno Dots 
;Interieurleisten Alu U-Turn;Interior trims, aluminum U-turn;Inserts d'habitacle Alu U-Turn;Revestimientos interiores de aluminio U-Turn;Modanature interne in alluminio 'U-Turn';Interieurpanelen aluminium U-Turn;Interiörlister Alu U-Turn;Frisos interiores decorativos em alumínio U-Turn 
;Interieurleisten Eukalyptus;Interior trims, eucalyptus;Inserts d'habitacle Eukalyptus;Revestimientos interiores de eucalipto;Modanature interne in eucalipto;Interieurpanelen eucalyptus;Interiörlister Eukalyptus;Frisos interiores decorativos em madeira de eucalipto
;Interieurleisten Titan;Interior trims, Titanium;Inserts d'habitacle Titan;Revestimientos interiores de titanio;Modanature interne in titanio;Interieurpanelen titanium;Interiörlister Titan;Frisos interiores decorativos em titânio
;Kaschmirbraun;Kashmir brown;Brun cachemire;Marrón cachemir;Marrone cashmere;Kasjmierbruin;Kashmirbrun;Castanho Cachemira
;Klimaautomatik;Automatic air conditioning;Climatisation automatique;Climatizador automático;Climatizzazione automatica;Automatische airconditioning;Klimatautomatik;Aparelho automático de ar condicionado
;Klimaanlage;Air conditioning system;climatiseur;sistema de aire acondicionado;sistema di aria condizionata;Airconditioning installatie;Klimatsystem;Aparelho de ar condicionado
;Leder Sportlenkradkranz, schwarz;Leather-covered sport steering wheel rim, black;Jante de volant sport, cuir noir;Volante deportivo de cuero, negro;Corona del volante sportivo in pelle, nera;Lederen sportstuurwielrand, zwart;Sportrattkrans i läder, svart;Coroa de volante desportivo em pele, preto
;Leder-Lenkradkranz bicolor, schwarz/grau;Leather-covered steering wheel rim, bicolor, black/grey;Jante de volant cuir bicolore, noir/gris;Corona de cuero bicolor del volante, negro/gris;Corona del volante in pelle bicolore, nero/grigio;Lederen stuurwielrand bicolor, zwart/grijs;Läderrattkrans bicolor, svart/grå;Coroa de volante desportivo em pele bicolor, preto/cinza
;Leder-Lenkradkranz bicolor, schwarz/taninrot;Leather-covered steering wheel rim, bicolor, black/tannin red;Jante de volant cuir bicolore, noir/rouge tanin;Corona de cuero bicolor del volante, negro/rojo carmín;Corona del volante in pelle bicolore, nero/rosso tanino;Lederen stuurwielrand bicolor, zwart/taninrood;Läderrattkrans bicolor, svart/tanninröd;Coroa de volante desportivo em pele bicolor, preto/vermelho tanino
;Leder-Lenkradkranz mit Multifunktionstasten;Leather-covered steering wheel rim with multifunction buttons;Jante de volant cuir à touches multifonction;Corona de cuero del volante con teclas multifunción;Corona del volante in pelle con tasti multifunzioni;Lederen stuurwielrand met multifunctionele toetsen;Läderrattkrans med multifunktionsknappar;Coroa de volante em pele com teclas multifunções
;Leder-Schaltknauf mit Chromspange, glänzend;Leather-covered gear lever knob with chrome grip, polished;Pommeau de levier de vitesses, cuir à bague chromée, brillante;Empuñadura de cuero de la palanca de cambio con franja de cromo, brillante;Impugnatura della leva del cambio in pelle con fermaglio cromato, lucido;Lederen schakelknop met verchroomde ring, glanzend;Växelspaksknopp i läder med kromrand, glänsande;Punho de mudanças em pele com friso cromado, brilhante
;Leder-Schaltknauf mit Chromspange, matt;Leather-covered gear lever knob with chrome grip, matt;Pommeau de levier de vitesses, cuir à bague chromée, matte;Empuñadura de cuero de la palanca de cambio con franja de cromo, mate;Impugnatura della leva del cambio in pelle con fermaglio cromato, opaco;Lederen schakelknop met verchroomde ring, mat;Växelspaksknopp i läder med kromrand, matt;Punho de mudanças em pele com friso cromado, mate
;Leder-Schaltknauf mit Holzspange, Ahorn glänzend;Leather-covered gear lever knob with wood grip, maple;Pommeau de levier de vitesses, à bague en érable;Empuñadura de cuero de la palanca de cambio con franja de madera, arce ;Impugnatura della leva del cambio in pelle con fermaglio in legno, acero;Lederen schakelknop met houten ring, ahorn;Växelspaksknopp i läder med trärand, lönn;Punho de mudanças em pele com friso em madeira, ácer brilhante
;Leder-Schaltknauf mit Holzspange Nußbaum-Wurzel dunkel;Leather-covered gear lever knob with wood grip, walnut;Pommeau de levier de vitesses, à bague en noyer;Empuñadura de cuero de la palanca de cambio con franja de madera, nogal;Impugnatura della leva del cambio in pelle con fermaglio in legno, noce;Lederen schakelknop met houten ring, notenhout;Växelspaksknopp i läder med trärand, valnöt;Punho de mudanças em pele com friso em raiz de nogueira escura
;Leder-Schaltknauf, schwarz, mit Chromring;Leather-covered gear lever knob, black, with chrome ring;Pommeau de levier de vitesses, cuir, à bague chromée;Empuñadura de cuero de la palanca de cambio, negra con anillo de cromo;Impugnatura della leva del cambio in pelle, nera con anello cromato;Lederen schakelknop, zwart met verchroomde ring;Växelspaksknopp i läder, svart med kromring;Punho de mudanças em pele, preto com anel cromado
;Leder-Schaltknauf mit Holzspange, Pappel dunkel;Leather-covered gear lever knob with wood grip, poplar, dark;Pommeau de levier de vitesses, cuir, à bague en peuplier foncé;Empuñadura de cuero de la palanca de cambio con franja de madera, álamo oscuro;Impugnatura della leva del cambio in pelle con fermaglio in legno, pioppo scuro;Lederen schakelknop met houten ring, donker populier;Växelspaksknopp i läder med trärand, poppel mörk;Punho de mudanças em pele com friso em madeira, choupo escuro
;Leder-Schaltknauf mit Holzspange, Pappel hell;Leather-covered gear lever knob with wood grip, poplar, light;Pommeau de levier de vitesses, cuir, à bague en peuplier clair;Empuñadura de cuero de la palanca de cambio con franja de madera, álamo claro;Impugnatura della leva del cambio in pelle con fermaglio in legno, pioppo chiaro;Lederen schakelknop met houten ring, licht populier;Växelspaksknopp i läder med trärand, poppel ljus;Punho de mudanças em pele com friso em madeira, choupo claro
;Leder-Schaltknauf mit Titanspange;Leather-covered gear lever knob with titanium grip;Pommeau de levier de vitesses, cuir, à bague en titane;Empuñadura de cuero de la palanca de cambio con franja de titanio;Impugnatura della leva del cambio in pelle con fermaglio in titanio;Lederen schakelknop met titanium ring;Växelspaksknipp i läder med titanrand;Punho de mudanças em pele com friso em titânio
;Leder-Schaltknauf schwarz;Leather-covered gear lever knob, black;Pommeau de levier de vitesses, cuir noir;Empuñadura de cuero de la palanca de cambio negra;Impugnatura della leva del cambio in pelle nera;Lederen schakelknop zwart;Växelspaksknopp i läder, svart;Punho de mudanças em pele, preto
;Leder-Schaltknauf, schwarz;Leather-covered gear lever knob, black;Pommeau de levier de vitesses, cuir noir;Empuñadura de cuero de la palanca de cambio, negra con emblema M;Impugnatura della leva del cambio in pelle, nera;Lederen schakelknop, zwart;Växelspaksknopp i läder, svart;Punho de mudanças em pele, preto
;Leder-Sportlenkradkranz mit Dekorblende Holz, Pappel hell;Leather-covered sport steering wheel rim with wood decorative trim, poplar, light;Jante de volant sport, cuir, à insert décoratif en peuplier clair;Corona de cuero del volante deportivo con embellecedor de madera, álamo claro;Corona del volante sportivo in pelle con mascherina decorativa in legno, pioppo chiaro;Lederen sportstuurwielrand met houten sierpaneel, licht populier;Sportrattkrans i läder med trädekor, poppel ljus;Coroa de volante desportivo em pele com friso decorativo em madeira, choupo claro
;Leder-Sportlenkradkranz mit Dekorblende Holz,Pappel dunkel;Leather-covered sport steering wheel rim with wood decorative trim, poplar, dark;Jante de volant sport, cuir, à insert décoratif en peuplier foncé;Corona de cuero del volante deportivo con embellecedor de madera, álamo oscuro;Corona del volante sportivo in pelle con mascherina decorativa in pelle, pioppo scuro;Lederen sportstuurwielrand met houten sierpaneel, donker populier;Sportrattkrans i läder med trädekor, poppel mörk;Coroa de volante desportivo em pele com friso decorativo em madeira, choupo escuro
;Leder-Sportlenkradkranz mit Dekorblende M-Sport ;Leather-covered sport steering wheel rim with decorative trim, M Sport;Jante de volant sport, cuir, à insert décoratif M-Sport ;Corona de cuero del volante deportivo con embellecedor deportivo M ;Corona del volante sportivo in pelle con mascherina decorativa M-Sport;Lederen sportstuurwielrand met sierpaneel M-Sport ;Sportrattkrans i läder med dekor, M-Sport ;Coroa de volante desportivo em pele com friso decorativo Sport M
;Leder-Sportlenkradkranz mit Dekorblende M-Sport MF;Leather-covered sport steering wheel rim with decorative trim, M Sport MF;Jante de volant sport, cuir, à insert décoratif M, MF;Corona de cuero del volante deportivo con embellecedor deportivo MF;Corona del volante sportivo in pelle con mascherina decorativa M-Sport MF;Lederen sportstuurwielrand met sierpaneel M-Sport multifunctionele toetsen;Sportrattkrans i läder med dekor, M-Sport med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo Sport M e MF
;Leder-Sportlenkradkranz mit Dekorblende Myrte MF;Leather-covered sport steering wheel rim with decorative trim, myrtle MF;Jante de volant sport, cuir, à insert décoratif myrte MF;Corona de cuero del volante deportivo con embellecedor mirto MF;Corona del volante sportivo in pelle con mascherina decorativa in mirto MF;Lederen sportstuurwielrand met sierpaneel myrthe multifunctionele toetsen;Sportrattkrans i läder med trädekor, myrten med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo em madeira de mirto MF
;Leder-Sportlenkradkranz mit Dekorblende schwarz/muschelahorn mit MF;Leather-covered sport steering wheel rim with decorative trim, black/shell maple, with MF;Jante de volant sport, cuir, à insert décoratif noir/loupe d'érable, avec MF;Corona de cuero del volante deportivo con embellecedor negro/arce con MF;Corona del volante sportivo in pelle con mascherina decorativa nera/acero musivo con MF;Lederen sportstuurwielrand met sierpaneel zwart/ahorn met multifunctionele toetsen;Sportrattkrans i läder med dekor, svart/lönn med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo preto/ácer do Oregão com MF
;Leder-Sportlenkradkranz mit Dekorblende schwarz/nussbaum;Leather-covered sport steering wheel rim with decorative trim, black/walnut;Jante de volant sport, cuir, à insert décoratif noir/noyer;Corona de cuero del volante deportivo con embellecedor negro/nogal;Corona del volante sportivo in pelle con mascherina decorativa nera/noce;Lederen sportstuurwielrand met sierpaneel zwart/notenhout;Sportrattkrans i läder med dekor, svart/valnöt;Coroa de volante desportivo em pele com friso decorativo preto/raiz de nogueira
;Leder-Sportlenkradkranz mit Dekorblende schwarz/nussbaum mit MF;Leather-covered sport steering wheel rim with decorative trim, black/walnut, with MF;Jante de volant sport, cuir, à insert décoratif noir/noyer avec MF;Corona de cuero del volante deportivo con embellecedor negro/nogal con MF;Corona del volante sportivo in pelle con mascherina decorativa nera/noce con MF;Lederen sportstuurwielrand met sierpaneel zwart/notenhout met multifunctionele toetsen;Sportrattkrans i läder med dekor, svart/valnöt med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo preto/raiz de nogueira com MF
;Leder-Sportlenkradkranz mit Dekorblende schwarz/vavona;Leather-covered sport steering wheel rim with decorative trim, black/vavona;Jante de volant sport, cuir, à insert décoratif noir/vavona;Corona de cuero del volante deportivo con embellecedor negro/secuoya;Corona del volante sportivo in pelle con mascherina decorativa nera/vavona;Lederen sportstuurwielrand met sierpaneel zwart/vavona;Sportrattkrans i läder med dekor, svart/vavona;Coroa de volante desportivo em pele com friso decorativo preto/vavona
;Leder-Sportlenkradkranz mit Dekorblende schwarz/vavona mit MF;Leather-covered sport steering wheel rim with decorative trim, black/vavona, with MF;Jante de volant sport, cuir, à insert décoratif noir/vavona avec MF;Corona de cuero del volante deportivo con embellecedor negro/secuoya con MF;Corona del volante sportivo in pelle con mascherina decorativa nera/vavona con MF;Lederen sportstuurwielrand met sierpaneel zwart/vavona met multifunctionele toetsen;Sportrattkrans i läder med dekor, svart/vavona med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo preto/vavona com MF
;Leder-Sportlenkradkranz mit Dekorblende Titan;Leather-covered sport steering wheel rim with decorative trim, titanium;Jante de volant sport, cuir, à insert décoratif, titane ;Corona de cuero del volante deportivo con embellecedor de titanio;Corona del volante sportivo in pelle con mascherina decorativa in titanio;Lederen sportstuurwielrand met sierpaneel titanium ;Sportrattkrans i läder med dekor, titan ;Coroa de volante desportivo em pele com friso decorativo em titânio
;Leder-Sportlenkradkranz mit Dekorblende, Birke;Leather-covered sport steering wheel rim with decorative trim, birch;Jante de volant sport, cuir, à insert décoratif, bouleau;Corona de cuero del volante deportivo con embellecedor, abedul;Corona del volante sportivo in pelle con mascherina decorativa in betulla;Lederen sportstuurwielrand met sierpaneel, berken;Sportrattkrans i läder med dekor, björk;Coroa de volante desportivo em pele com friso decorativo em madeira de bétula
;Leder-Sportlenkradkranz mit Dekorblende, Birke MF;Leather-covered sport steering wheel rim with decorative trim, birch MF;Jante de volant sport, cuir, à insert décoratif, bouleau MF;Corona de cuero del volante deportivo con embellecedor, abedul MF;Corona del volante sportivo in pelle con mascherina decorativa in betulla MF;Lederen sportstuurwielrand met sierpaneel, berken multifunctionele toetsen;Sportrattkrans i läder med dekor, björk med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo em madeira de bétula MF
;Leder-Sportlenkradkranz mit Dekorblende, mattchrom;Leather-covered sport steering wheel rim with decorative trim, chrome;Jante de volant sport, cuir, à insert décoratif, chrome;Corona de cuero del volante deportivo con embellecedor, cromo;Corona del volante sportivo in pelle con mascherina decorativa cromata;Lederen sportstuurwielrand met sierpaneel, chroom;Sportrattkrans i läder med dekor, krom;Coroa de volante desportivo em pele com friso decorativo, cromado mate
;Leder-Sportlenkradkranz mit Dekorblende, mattchrom MF;Leather-covered sport steering wheel rim with decorative trim, chrome MF;Jante de volant sport, cuir, à insert décoratif, chrome MF;Corona de cuero del volante deportivo con embellecedor, cromo MF;Corona del volante sportivo in pelle con mascherina decorativa cromata MF;Lederen sportstuurwielrand met sierpaneel, chroom multifunctionele toetsen;Sportrattkrans i läder med dekor, krom med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo, cromado mate MF
;Leder-Sportlenkradkranz mit Dekorblende, Myrte;Leather-covered sport steering wheel rim with decorative trim, myrtle;Jante de volant sport, cuir, à insert décoratif, myrte;Corona de cuero del volante deportivo con embellecedor, mirto;Corona del volante sportivo in pelle con mascherina decorativa in mirto ;Lederen sportstuurwielrand met sierpaneel, myrthe;Sportrattkrans i läder med dekor, myrten;Coroa de volante desportivo em pele com friso decorativo em madeira de mirto
;Leder-Sportlenkradkranz mit Dekorblende, Schwarz;Leather-covered sport steering wheel rim with decorative trim, black;Jante de volant sport, cuir, à insert décoratif, noir;Corona de cuero del volante deportivo con embellecedor, negro;Corona del volante sportivo in pelle con mascherina decorativa nera;Lederen sportstuurwielrand met sierpaneel, zwart;Sportrattkrans i läder med dekor, svart;Coroa de volante desportivo em pele com friso decorativo, preto
;Leder-Sportlenkradkranz mit Dekorblende, Schwarz MF;Leather-covered sport steering wheel rim with decorative trim, black MF;Jante de volant sport, cuir, à insert décoratif, noir MF;Corona de cuero del volante deportivo con embellecedor, negro MF;Corona del volante sportivo in pelle con mascherina decorativa nera MF;Lederen sportstuurwielrand met sierpaneel, zwart multifunctionele toetsen;Sportrattkrans i läder med dekor, svart med multifunktionsknappar;Coroa de volante desportivo em pele com friso decorativo, preto MF
;Leder-Sportlenkradkranz, schwarz MF;Leather-covered sport steering wheel rim, black MF;Jante de volant sport, cuir, noir MF;Volante deportivo de cuero, negro MF;Corona del volante sportivo in pelle nera MF;Lederen sportstuurwielrand, zwart multifunctionele toetsen;Sportrattkrans i läder, svart med multifunktionsknappar;Coroa de volante desportivo em pele, preto MF
;Leder-Wählhebelgriff, schwarz;Leather-covered selector lever grip, black;Poignée de sélecteur, cuir, noir;Palanca de cambio automático de cuero, negro;Maniglia della leva selettrice in pelle, nera;Lederen knop voor keuzehendel, zwart;Växelväljarhandtag i läder, svart;Punho da caixa automática em pele, preto
;Leder-Wählhebelgriff mit Chromspange, glänzend;Leather-covered selector lever grip with chrome grip, polished;Poignée de sélecteur, cuir, avec bague chromé, brillant;Palanca de cambio automático de cuero con franja de cromo, brillante;Maniglia della leva selettrice in pelle con fermaglio cromato lucido;Lederen knop voor keuzehendel met verchroomde ring, glanzend;Växelväljarhandtag i läder med kromrand, glänsande;Punho da caixa automática em pele com friso cromado, brilhante
;Leder-Wählhebelgriff mit Chromspange, matt;Leather-covered selector lever grip with chrome grip, matt;Poignée de sélecteur, cuir, avec bague chromé, mat;Palanca de cambio automático de cuero con franja de cromo, mate;Maniglia della leva selettrice in pelle con fermaglio cromato opaco;Lederen knop voor keuzehendel met verchroomde ring, mat;Växelväljarhandtag i läder med kromrand, matt;Punho da caixa automática em pele com friso cromado, mate
;Leder-Wählhebelgriff mit Holzspange, Ahorn;Leather-covered selector lever grip with wood grip, maple;Poignée de sélecteur, cuir, avec bague en érable;Palanca de cambio automático de cuero con franja de madera, arce;Maniglia della leva selettrice in pelle con fermaglio in legno d'acero;Lederen knop voor keuzehendel met houten ring, ahorn;Växelväljarhandtag i läder med trärand, lönn;Punho da caixa automática em pele com friso de madeira, ácer
;Leder-Wählhebelgriff mit Holzspange, Nussbaum dunkel;Leather-covered selector lever grip with wood grip, walnut, dark;Poignée de sélecteur, cuir, avec bague en noyer foncé;Palanca de cambio automático de cuero con franja de madera, nogal oscuro;Maniglia della leva selettrice in pelle con fermaglio in noce scuro;Lederen knop voor keuzehendel met houten ring, donker notenhout;Växelväljarhandtag i läder med trärand, valnöt mörk;Punho da caixa automática em pele com friso de madeira, raiz de nogueira escura
;Leder-Wählhebelgriff mit Holzspange in Nussbaum-Wurzel;Leather-covered selector lever grip with wood grip, walnut;Poignée de sélecteur, cuir, avec bague en noyer;Palanca de cambio automático de cuero con franja de madera, nogal;Maniglia della leva selettrice in pelle con fermaglio in noce;Lederen knop voor keuzehendel met houten ring, notenhout;Växelväljarhandtag i läder med trärand, valnöt;Punho da caixa automática em pele com friso de madeira de raiz de nogueira
;Leder-Wählhebelgriff mit Holzspange in Nussbaum-Wurzel, Chrom Line;Leather-covered selector lever grip with wood grip, walnut, chrome line;Poignée de sélecteur, cuir, avec bague en noyer, ligne chromé;Palanca de cambio automático de cuero con franja de madera, nogal, linea cromada;Maniglia della leva selettrice in pelle con fermaglio in noce, chrome-line;Lederen knop voor keuzehendel met houten ring, notenhout, chrome-line;Växelväljarhandtag i läder med trärand, valnöt, chrome-line;Punho da caixa automática em pele com friso de madeira de raiz de nogueira, Chrom Line
;Leder-Wählhebelgriff mit Holzspange, Pappel dunkel;Leather-covered selector lever grip with wood grip, poplar, dark;Pommeau de sélecteur, cuir, à bague en peuplier foncé;Palanca de cambio automático de cuero con franja de madera, álamo oscuro;Maniglia della leva selettrice in pelle con fermaglio in pioppo scuro;Lederen knop voor keuzehendel met houten ring, donker populier;Växelväljarhandtag i läder med trärand, poppel mörk;Punho da caixa automática em pele com friso de madeira, choupo escuro
;Leder-Wählhebelgriff mit Holzspange, Pappel hell;Leather-covered selector lever grip with wood grip, poplar, light;Pommeau de sélecteur, cuir, à bague en peuplier clair;Palanca de cambio automático de cuero con franja de madera, álamo claro;Maniglia della leva selettrice in pelle con fermaglio in pioppo chiaro;Lederen knop voor keuzehendel met houten ring, licht populier;Växelväljarhandtag i läder med trärand, poppel ljus;Punho da caixa automática em pele com friso de madeira, choupo claro
;Leder-Wählhebelgriff mit Titanspange;Leather-covered selector lever grip with titanium grip;Poignée de sélecteur, cuir, à bague en titane;Palanca de cambio automático de cuero con franja de titanio;Maniglia della leva selettrice in pelle con fermaglio in titanio;Lederen knop voor keuzehendel met titanium ring;Växelväljarhandtag i läder med titanrand;Punho da caixa automática em pele com friso em titânio
;Lenkräder (mit Multifunktion);Steering wheels (with multifunction);Volants (avec multifonction);Volantes (con multifunción);Volanti (con multifunzioni);Stuurwielen (met multifunctionele toetsen);Rattar (med multifunktion);Volante (com multifunções)
;Lenkräder (ohne Multifunktion);Steering wheels (without multifunction);Volants (sans multifonction);Volantes (sin multifunción);Volanti (senza multifunzioni);Stuurwielen (zonder multifunctionele toetsen);Rattar (utan multifunktion);Volante (sem multifunções)
;Lüftungsgitter Chrom;Air vent, chrome;Grille d'aération chromée;Rejillas de aireación de cromo;Griglia di ventilazione cromata;Ventilatieroosters chroom;Ventilationsgaller, krom;Grelha de ventilação cromada
;M Fußstütze beige;M footrest, beige;Repose-pied M, beige;Reposapiés M beige;Appoggiapiedi M beige;M voetsteun beige;M fotstöd, beigt;Apoio para os pés bege M
;M Fußstütze englischgrün;M footrest, English green;Repose-pied M, vert anglais;Reposapiés M verde inglés;Appoggiapiedi M verde inglese;M voetsteun engels groen;M fotstöd, engelskgrönt;Apoio para os pés verde inglês M
;M Fußstütze grau;M footrest, grey;Repose-pied M, gris;Reposapiés M gris;Appoggiapiedi M grigio;M voetsteun grijs;M fotstöd, grått;Apoio para os pés cinzento M
;M Fußstütze marineblau;M footrest, navy blue;Repose-pied M, bleu marine;Reposapiés M azul marino;Appoggiapiedi M blu marino;M voetsteun marineblauw;M fotstöd, marinblått;Apoio para os pés azul marinho M
;M Fußstütze sandbeige;M footrest, sandy beige;Repose-pied M, beige sable;Reposapiés M beige arena;Appoggiapiedi M beige sabbia;M voetsteun zandbeige;M fotstöd, sandbeigt;Apoio para os pés bege areia M
;M Fußstütze schwarz;M footrest, black;Repose-pied M, noir;Reposapiés M negro;Appoggiapiedi M nero;M voetsteun zwart;M fotstöd, svart;Apoio para os pés preto M
;M Interieurleisten Alu Black Cube;M interior trims, aluminum Black Cube;Inserts d'habitacle Alu Black Cube;Revestimientos interiores M de aluminio Cube Silber;Modanature interne M alluminio black cube;M interieurpanelen Alu Black Cube;M interiörlister Alu Black Cube;Frisos interiores em alumínio Black Cube M
;M Leder-Sportlenkradkranz, schwarz;M leather-covered sport steering wheel rim, black;Jante de volant sport M, cuir noir;Volante deportivo de cuero M, negro;Corona del volante sportivo M in pelle nera;M lederen sportstuurwielrand, zwart;M sportrattkrans i läder, svart;Coroa de volante desportivo em pele M, preto
;M Leder-Sportlenkradkranz, schwarz MF;M leather-covered sport steering wheel rim, black MF;Jante de volant sport M, cuir noir MF;Volante deportivo de cuero M, negro MF;Corona del volante sportivo M in pelle nera MF;M lederen sportstuurwielrand, zwart multifunctionele toetsen;M sportrattkrans i läder, svart med multifunktionsknappar;Coroa de volante desportivo em pele M, preto MF
;Maledivenblau;Maldives blue;Maledivenblau;Maledivenblau;Maledivenblau;Maledivenblau;Maledivenblau;Maledivenblau
;MD-Laufwerk;MD drive;Lecteur de MD;Reproductor de MD;Lettore di minidisc;MD-speler;MD-enhet;Unidade de leitura de MD
;Messing;Brass;Laiton;Latón;Ottone;Messing;Mässing;Latão
;Multifunktionsablagesystem;Multifunction storage system;Système de rangement multifonction;Sistema portaobjetos multifunción;Sistema ripostiglio multifunzioni;Multifunctioneel opbergsysteem;Multifunktionsförvaringssystem;Sistema de compartimentos multifunção
;Navigationssystem;Navigation system;Système de navigation;Sistema de navegación;Sistema di navigazione;Navigatiesysteem;Navigationssystem;Sistema de navegação
;Navigationssystem mit MD-Laufwerk;Navigation system, MD drive;Système de navigation, Lecteur de MD;Sistema de navegación, Reproductor de MD;Sistema di navigazione, Lettore di minidisc;Navigatiesysteem, MD-speler;Navigationssystem, MD-enhet;Sistema de navegação com unidade de leitura de MD
;Navigationssystem mit CD-Laufwerk;Navigation system, CD drive;Système de navigation, Lecteur de CD;Sistema de navegación, Reproductor de CD;Sistema di navigazione, Lettore di CD;Navigatiesysteem, CD-speler;Navigationssystem, CD-enhet;Sistema de navegação com unidade de leitura de CD
;BMW DVD-System;DVD system;Système de DVD;Sistema de DVD;Sistema di DVD;DVD systeem;DVD system;Sistema DVD BMW
